Rank,Name,Publisher,Developer,Platform,Release_date,Genre,Sales_NA,Sales_PAL,Sales_JP,Sales_Other,Sales_Globe
4261,Dance Dance Revolution Universe 2,Konami,Bemani,X360,2007,Simulation,0.46,0.0,,0.04,0.5
4262,RPG Maker,Agetec,Agetec Inc.,PS,2000,Role-Playing,0.11,0.07,0.29,0.03,0.5
4263,Mad Max (2013),Warner Bros. Interactive Entertainment,Avalanche Studios,XOne,2015,Action,0.29,0.16,,0.05,0.5
4264,Star Wars: Clone Wars,LucasArts,Pandemic Studios,PS2,2002,Shooter,0.24,0.19,,0.06,0.5
4265,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,THQ,THQ,PS2,2004,Adventure,0.24,0.19,,0.06,0.5
4266,NBA Street Homecourt,EA Sports,EA Canada,X360,2007,Sports,0.45,0.01,0.0,0.04,0.5
4267,Pokémon Art Academy,Nintendo,Headstrong Games,3DS,2014,Misc,0.18,0.12,0.17,0.03,0.5
4268,Madden NFL 11,EA Sports,EA Tiburon,PS2,2010,Sports,0.41,0.02,,0.07,0.5
4269,Epic Mickey: Power of Illusion,Disney Interactive Studios,DreamRift,3DS,2012,Platform,0.36,0.05,0.04,0.04,0.5
4270,Monster Hunter,Capcom,Capcom,PS2,2004,Role-Playing,0.11,0.08,0.28,0.03,0.5
4271,SplashDown: Rides Gone Wild,THQ,Rainbow Studios,PS2,2003,Racing,0.24,0.19,,0.06,0.5
4272,Tony Hawk's Underground 2,Activision,Neversoft Entertainment,GC,2004,Sports,0.38,0.1,,0.01,0.5
4273,Picross 3D,Nintendo,HAL Laboratory,DS,2010,Puzzle,0.28,0.03,0.16,0.03,0.5
4274,Sonic & Sega All-Stars Racing Transformed,Sega,Sumo Digital,PS3,2012,Racing,0.08,0.33,0.02,0.07,0.5
4275,Super Famista 5,Namco,Namco,SNES,1996,Sports,,,0.5,0.0,0.5
4276,Ridge Racer 3D,Namco Bandai,Namco Bandai Games,3DS,2011,Racing,0.19,0.16,0.12,0.03,0.5
4277,Bakugan Battle Brawlers: Defenders of the Core,Activision,Now Production,DS,2010,Action,0.43,0.02,0.02,0.03,0.5
4278,Pro Evolution Soccer 2019,Konami,Konami,PS4,2018,Sports,0.06,0.23,0.15,0.05,0.5
4279,Shrek SuperSlam,Activision,Shaba Games,PS2,2005,Action,0.24,0.19,,0.06,0.5
4280,Alice: Madness Returns,Electronic Arts,Spicy Horse,X360,2011,Adventure,0.27,0.15,0.04,0.04,0.5
4281,Super Monkey Ball 3D,Sega,Sega,3DS,2011,Action,0.26,0.15,0.05,0.04,0.5
4282,Rayman Advance,Ubisoft,Digital Eclipse,GBA,2001,Platform,0.36,0.13,,0.01,0.5
4283,Super Robot Taisen Z,Namco Bandai,Banpresto,PS2,2008,Strategy,,,0.5,,0.5
4284,PoPoLoCrois Monogatari,Sony Computer Entertainment,SCE,PS,1996,Role-Playing,,,0.46,0.03,0.5
4285,Wet,Bethesda Softworks,Artificial Mind and Movement,X360,2009,Shooter,0.23,0.21,0.01,0.05,0.5
4286,Spider-Man 2,Activision,Vicarious Visions,DS,2004,Action,0.41,0.02,0.03,0.04,0.5
4287,Dragon's Crown,Atlus,Vanillaware,PS3,2013,Role-Playing,0.27,0.04,0.17,0.02,0.5
4288,Tomb Raider: Anniversary,Eidos Interactive,Crystal Dynamics,PS2,2007,Action,0.41,0.02,,0.07,0.5
4289,Fantastic 4,Activision,7 Studios,PS2,2005,Action,0.41,0.01,,0.07,0.5
4290,Steel Diver,Nintendo,Nintendo EAD,3DS,2011,Action,0.31,0.1,0.05,0.04,0.5
4291,Men in Black II: Alien Escape,Infogrames,Melbourne House,PS2,2002,Shooter,0.24,0.19,,0.06,0.5
4292,RealSports Tennis,Atari,Atari,2600,1983,Sports,0.46,0.03,,0.01,0.5
4293,Nicktoons: Attack of the Toybots,THQ,Blue Tongue Entertainment,PS2,2007,Platform,0.24,0.19,,0.06,0.5
4294,Madden NFL 07,EA Sports,HB Studios,Wii,2006,Sports,0.46,0.0,,0.04,0.5
4295,Gauntlet,Answer Software,Answer Software,2600,1983,Action,0.46,0.03,,0.01,0.5
4296,Raiders of the Lost Ark,Atari,Atari,2600,1982,Action,0.46,0.03,,0.01,0.5
4297,Resident Evil: The Mercenaries 3D,Capcom,Capcom,3DS,2011,Shooter,0.16,0.17,0.13,0.03,0.49
4298,Watch Dogs,Ubisoft,Ubisoft Montreal,PC,2014,Action-Adventure,0.19,0.27,,0.04,0.49
4299,Dynasty Warriors: Gundam 2,Namco Bandai,Omega Force,PS3,2009,Action,0.09,0.07,0.32,0.03,0.49
4300,SpongeBob SquarePants: Creature from the Krusty Krab,THQ,Blitz Games,Wii,2006,Platform,0.44,0.02,,0.04,0.49
4301,Cars Mater-National Championship,THQ,Incinerator Games,Wii,2007,Racing,0.46,0.0,,0.04,0.49
4302,Tony Hawk's Underground 2,Activision,Vicarious Visions,GBA,2004,Sports,0.35,0.13,,0.01,0.49
4303,Boogie,Electronic Arts,EA Montreal,Wii,2007,Misc,0.43,0.03,,0.04,0.49
4304,Tony Hawk's Project 8,Activision,Neversoft Entertainment,X360,2006,Sports,0.44,0.02,0.0,0.04,0.49
4305,Dragon Ball Z: Supersonic Warriors 2,Atari,Arc System Works,DS,2005,Fighting,0.13,0.02,0.32,0.02,0.49
4306,Story of Seasons: Trio of Towns,Marvelous Interactive,Marvelous Entertainment,3DS,2017,Simulation,0.19,0.06,0.22,0.03,0.49
4307,Babysitting Mama,Majesco,Cooking Mama Limited,Wii,2010,Simulation,0.33,0.12,,0.04,0.49
4308,Fire Emblem: Radiant Dawn,Nintendo,Intelligent Systems,Wii,2007,Strategy,0.27,0.03,0.17,0.03,0.49
4309,Ice Hockey,Activision,Activision,2600,1981,Sports,0.46,0.03,,0.01,0.49
4310,FIFA 13,EA Sports,EA Canada,WiiU,2012,Sports,0.18,0.28,,0.04,0.49
4311,Mario Golf: World Tour,Nintendo,Camelot Software Planning,3DS,2014,Sports,0.14,0.15,0.18,0.03,0.49
4312,Ace Combat: Assault Horizon,Namco Bandai,Project ACES,X360,2011,Action,0.3,0.12,0.03,0.04,0.49
4313,The Matrix: Path of Neo,Atari,Shiny Entertainment,PS2,2005,Action,0.41,0.01,,0.07,0.49
4314,The Price is Right,Ubisoft,Ludia Inc.,DS,2008,Misc,0.46,,,0.04,0.49
4315,WWE Wrestlemania X8,THQ,Yuke's,GC,2002,Fighting,0.38,0.1,,0.01,0.49
4316,Star Wars Battlefront: Elite Squadron,LucasArts,n-Space,DS,2009,Shooter,0.42,0.04,,0.04,0.49
4317,Asphalt 3D,Ubisoft,Konami,3DS,2011,Racing,0.27,0.16,0.02,0.04,0.49
4318,Power Rangers: Dino Thunder,THQ,Natsume,GBA,2004,Action,0.35,0.13,,0.01,0.49
4319,GoldenEye: Rogue Agent,Electronic Arts,Dreamworks Games,XB,2004,Shooter,0.34,0.13,,0.02,0.49
4320,Star Wars Battlefront (2015),Electronic Arts,EA DICE,PC,2015,Shooter,0.13,0.33,,0.04,0.49
4321,Dreamworks Madagascar Kartz,Activision,Sidhe Interactive,Wii,2009,Racing,0.29,0.16,,0.05,0.49
4322,The Sims,Electronic Arts,Maxis,GC,2003,Simulation,0.35,0.13,,0.01,0.49
4323,Grandia III,Square Enix,Game Arts,PS2,2006,Role-Playing,0.12,0.1,0.24,0.03,0.49
4324,Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,Namco Bandai,Capcom,PS2,2006,Shooter,,,0.49,,0.49
4325,Mario & Wario,Nintendo,Game Freak,SNES,1993,Puzzle,,,0.49,0.0,0.49
4326,Kane & Lynch 2: Dog Days,Square Enix,IO Interactive,X360,2010,Shooter,0.2,0.23,0.01,0.05,0.49
4327,Scarface: The World is Yours,Sierra Entertainment,Radical Entertainment,XB,2006,Adventure,0.37,0.11,,0.02,0.49
4328,FIFA Soccer 64,EA Sports,EA Canada,N64,1997,Sports,0.16,0.3,,0.03,0.49
4329,Animal Crossing: Amiibo Festival,Nintendo,"Nd Cube Co., Ltd.",WiiU,2015,Party,0.23,0.12,0.1,0.04,0.49
4330,SpongeBob SquarePants: Creature from the Krusty Krab,THQ,WayForward Technologies,DS,2006,Platform,0.45,0.0,,0.04,0.49
4331,J-League Pro Soccer Club wo Tsukurou! 2,Sega,Sega,SAT,1997,Sports,,,0.49,,0.49
4332,Middle-Earth: Shadow of Mordor,Warner Bros. Interactive Entertainment,Unknown,X360,2014,Misc,0.28,0.16,,0.04,0.49
4333,The Evil Within,Bethesda Softworks,Tango Gameworks,X360,2014,Misc,0.28,0.16,0.01,0.04,0.49
4334,MotorStorm: Apocalypse,Sony Computer Entertainment,Evolution Studios,PS3,2011,Racing,0.21,0.2,,0.08,0.49
4335,Backyard Baseball,Atari,Humongous Entertainment,PS2,2004,Sports,0.24,0.19,,0.06,0.49
4336,WipEout Pulse,Sony Computer Entertainment,Studio Liverpool,PS2,2009,Racing,,0.15,,0.33,0.49
4337,Barbie Horse Adventures: Wild Horse Rescue,Universal Interactive,Blitz Games,PS2,2003,Sports,0.24,0.19,,0.06,0.49
4338,Virtua Tennis 4: World Tour,Sega,Sega,PSV,2012,Sports,0.04,0.34,0.01,0.09,0.49
4339,Taiko no Tatsujin: Appare Sandaime,Namco,Namco,PS2,2003,Misc,,,0.49,,0.49
4340,F1 2012,Codemasters,Codemasters Birmingham,X360,2012,Racing,0.1,0.34,,0.05,0.49
4341,Mario & Sonic at the Rio 2016 Olympic Games,Nintendo,Sega Sports R&D,WiiU,2016,Sports,0.1,0.23,0.13,0.03,0.49
4342,One Piece: Grand Battle!,Atari,Bandai,PS,2003,Fighting,,,0.46,0.03,0.49
4343,Transformers: Revenge of the Fallen,Activision,Krome Studios,PS2,2009,Action,0.25,0.01,,0.22,0.49
4344,Dragon Ball Z: Burst Limit,Atari,Dimps Corporation,X360,2008,Fighting,0.24,0.18,0.03,0.05,0.49
4345,Crazy Taxi,Acclaim Entertainment,Hitmaker,GC,2001,Racing,0.36,0.09,0.02,0.01,0.49
4346,Spy Hunter 2,Midway Games,Angel Studios,PS2,2003,Racing,0.24,0.19,,0.06,0.49
4347,Art Academy: Lessons for Everyone!,Nintendo,Headstrong Games,3DS,2012,Misc,0.2,0.05,0.21,0.02,0.49
4348,FIFA Soccer 09,Electronic Arts,Exient Ltd.,DS,2008,Sports,0.12,0.31,,0.06,0.49
4349,Medal of Honor,Electronic Arts,EA Los Angeles,PC,2010,Shooter,0.2,0.23,,0.06,0.49
4350,Pac-Man World 2,Namco,Namco,XB,2002,Platform,0.36,0.11,,0.02,0.49
4351,Die Hard Trilogy 2: Viva Las Vegas,Fox Interactive,n-Space,PS,2000,Action,0.27,0.18,,0.03,0.49
4352,DiRT 4,Deep Silver,Codemasters,PS4,2017,Racing,0.1,0.3,0.02,0.07,0.49
4353,Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,Hudson Soft,Hudson Soft,PS2,2001,Misc,,,0.49,,0.49
4354,Hyrule Warriors Legends,Nintendo,Omega Force,3DS,2016,Action,0.17,0.16,0.12,0.03,0.49
4355,Dark Souls: Remastered,Bandai Namco Entertainment,From Software,PS4,2018,Role-Playing,0.13,0.16,0.14,0.06,0.49
4356,Tales of Legendia,Namco,Namco / Team MelFes,PS2,2006,Role-Playing,0.07,0.05,0.35,0.02,0.49
4357,SimCity 2000,Black Pearl,HAL Laboratory,SNES,1996,Simulation,,,0.49,0.0,0.49
4358,Sniper: Art of Victory,City Interactive,City Interactive,PC,2008,Shooter,,0.45,,0.03,0.49
4359,Alone in the Dark,Atari,Eden Studios,X360,2008,Adventure,0.14,0.3,0.0,0.05,0.49
4360,Football Manager Handheld 2009,Sega,Sports Interactive,PSP,2008,Sports,,0.47,,0.02,0.48
4361,Cars 2,Disney Interactive Studios,Avalanche Software,X360,2011,Racing,0.28,0.15,,0.05,0.48
4362,Shrek the Third,Activision,Amaze Entertainment,PS2,2007,Action,0.4,0.02,,0.07,0.48
4363,Madagascar: Operation Penguin,Activision,Vicarious Visions,GBA,2005,Action,0.35,0.13,,0.01,0.48
4364,Need for Speed: Porsche Unleashed,"Destination Software, Inc",Pocketeers,GBA,2004,Racing,0.35,0.13,,0.01,0.48
4365,Yu-Gi-Oh! Forbidden Memories (JP sales),Konami,KCEJ,PS,2002,Role-Playing,,,0.45,0.03,0.48
4366,Ultimate I Spy,Scholastic Inc.,Scholastic Interactive,Wii,2008,Adventure,0.45,0.0,,0.03,0.48
4367,NFL Street 2,EA Sports BIG,EA Tiburon,XB,2004,Sports,0.36,0.11,,0.02,0.48
4368,Millipede,Atari,Atari,2600,1984,Shooter,0.45,0.03,,0.01,0.48
4369,Street Fighter X Tekken,Capcom,Capcom,X360,2012,Fighting,0.32,0.1,0.03,0.04,0.48
4370,The Legend of the Mystical Ninja,Konami,Konami,SNES,1992,Adventure,,,0.48,,0.48
4371,Farpoint,Sony Interactive Entertainment,Impulse Gear,PS4,2017,Shooter,,0.38,0.04,0.06,0.48
4372,Atelier Rorona: Alchemist of Arland,NIS America,Gust,PS3,2014,Role-Playing,0.22,0.1,0.11,0.05,0.48
4373,Jeopardy!,Atari,Atari,PS2,2003,Misc,0.24,0.18,,0.06,0.48
4374,LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,Traveller's Tales,XOne,2016,Action,0.26,0.18,,0.04,0.48
4375,Destroy All Humans! 2,THQ,Pandemic Studios,PS2,2006,Adventure,0.4,0.02,,0.07,0.48
4376,Pinball Hall of Fame: The Williams Collection,Crave Entertainment,FarSight Studios,Wii,2008,Misc,0.42,0.03,,0.04,0.48
4377,WWE 2K19,2K Sports,Visual Concepts,XOne,2018,Fighting,0.3,0.14,,0.04,0.48
4378,Lollipop Chainsaw,Warner Bros. Interactive Entertainment,Grasshopper Manufacture,X360,2012,Action,0.31,0.12,0.02,0.04,0.48
4379,ECW Hardcore Revolution,Acclaim Entertainment,Acclaim,PS,2000,Fighting,0.27,0.18,,0.03,0.48
4380,You're in the Movies,Microsoft,Zoe Mode,X360,2008,Misc,0.27,0.17,,0.05,0.48
4381,Fortune Street,Nintendo,Square Enix,Wii,2011,Misc,0.25,0.03,0.17,0.03,0.48
4382,Scene It? Lights Camera Action,Microsoft Game Studios,WXP / Screenlife Games,X360,2007,Misc,0.43,0.01,,0.04,0.48
4383,Battleborn,2K Games,Gearbox Software,PS4,2016,Shooter,0.25,0.12,0.03,0.08,0.48
4384,World of Warcraft: Legion,Blizzard Entertainment,Blizzard Entertainment,PC,2016,MMO,0.17,0.27,,0.04,0.48
4385,Bass Pro Shops: The Strike,XS Games,Griffin International,Wii,2009,Sports,0.44,,,0.04,0.48
4386,Dark Sector,D3 Publisher,Digital Extremes,X360,2008,Shooter,0.22,0.2,0.01,0.05,0.48
4387,Zoo Tycoon (2013),Microsoft Studios,Frontier Developments,XOne,2013,Simulation,0.25,0.18,,0.04,0.48
4388,Tiger Woods PGA Tour 07,EA Sports,EA Redwood Shores,X360,2006,Sports,0.44,0.0,,0.04,0.48
4389,Far Cry 2,Ubisoft,Ubisoft Montreal,PC,2008,Shooter,0.01,0.45,,0.02,0.48
4390,Wu-Tang: Shaolin Style,Activision,Paradox Development,PS,1999,Fighting,0.27,0.18,,0.03,0.48
4391,Transformers: Revenge of the Fallen,Activision,Krome Studios,Wii,2009,Action,0.24,0.2,,0.05,0.48
4392,Wolfenstein: The New Order,Bethesda Softworks,MachineGames,PC,2014,Shooter,0.15,0.3,,0.04,0.48
4393,A Way Out,Electronic Arts,Hazelight,PS4,2018,Action,0.23,0.16,,0.08,0.48
4394,The Saboteur,Electronic Arts,Pandemic Studios,PS3,2009,Action,0.2,0.21,,0.07,0.48
4395,Crash of the Titans,Sierra Entertainment,Amaze Entertainment,DS,2007,Action,0.42,0.02,,0.04,0.48
4396,Disney Epic Mickey 2: The Power of Two,Disney Interactive Studios,Junction Point Studios,PS3,2012,Platform,0.21,0.19,,0.08,0.48
4397,Secret Weapons Over Normandy,LucasArts,Totally Games,PS2,2003,Simulation,0.24,0.18,,0.06,0.48
4398,Scrabble 2007 Edition,Ubisoft,WizarBox,DS,2007,Puzzle,,0.48,,0.0,0.48
4399,All-Star Baseball 99,Acclaim Entertainment,Iguana Entertainment,N64,1998,Sports,0.44,0.04,,0.0,0.48
4400,Harvest Moon 64,Natsume,Toy Box Studios,N64,1999,Simulation,0.25,0.06,0.11,0.06,0.48
4401,NCAA Football 09,EA Sports,EA Tiburon,PS2,2008,Sports,0.4,0.02,,0.07,0.48
4402,Rayman Raving Rabbids: TV Party,Ubisoft,Ubisoft Casablanca,DS,2008,Misc,0.44,0.01,,0.04,0.48
4403,Bratz: The Movie,THQ,Blitz Games,PS2,2007,Simulation,0.24,0.18,,0.06,0.48
4404,Friday the 13th: The Game,Gun Media,IllFonic,PS4,2017,Action,0.29,0.09,0.03,0.08,0.48
4405,Steep,Ubisoft,Ubisoft Annecy,XOne,2016,Sports,0.24,0.2,,0.04,0.48
4406,Batman: Arkham Origins Blackgate,Warner Bros. Interactive Entertainment,Armature Studio,PSV,2013,Action-Adventure,0.16,0.21,,0.11,0.48
4407,Vigilante 8: 2nd Offense,Activision,"Luxoflux, Inc.",PS,1999,Racing,0.27,0.18,,0.03,0.48
4408,Crazy Taxi: Fare Wars,Sega,Sniper Studios,PSP,2007,Racing,0.1,0.23,0.02,0.13,0.48
4409,Sonic Lost World,Sega,Dimps Corporation,3DS,2013,Platform,0.22,0.15,0.07,0.04,0.48
4410,Theme Park Roller Coaster,Electronic Arts,Bullfrog Productions,PS2,2000,Strategy,0.23,0.18,,0.06,0.48
4411,Thief,Square Enix,Eidos Montreal,XOne,2014,Action,0.26,0.17,,0.04,0.48
4412,The Walking Dead: A Telltale Games Series,Telltale Games,Telltale Games,PS4,2014,Adventure,0.12,0.26,0.03,0.07,0.48
4413,Alice in Wonderland,Disney Interactive Studios,Etranges Libellules,DS,2010,Adventure,0.25,0.18,,0.05,0.48
4414,NFL Xtreme 2,989 Studios,989 Sports,PS,1999,Sports,0.27,0.18,,0.03,0.48
4415,Doom 3 BFG Edition,Bethesda Softworks,id Software,X360,2012,Misc,0.28,0.15,,0.04,0.48
4416,Midnight Club: Street Racing,"Destination Software, Inc",Angel Studios,GBA,2001,Racing,0.34,0.13,,0.01,0.48
4417,Tom Clancy's The Division,Ubisoft,Massive Entertainment,PC,2016,Shooter,0.26,0.18,,0.04,0.48
4418,Euro Truck Simulator,SCS Software,SCS Software,PC,2013,Simulation,,0.43,,0.04,0.48
4419,Tiger Woods PGA Tour 06,EA Sports,EA Sports,XB,2005,Sports,0.35,0.11,,0.02,0.48
4420,Go Diego Go! Great Dinosaur Rescue,2K Play,Black Lantern Studios,DS,2008,Action,0.43,0.01,,0.03,0.48
4421,Children of Mana,Nintendo,Next Entertainment,DS,2006,Role-Playing,0.16,0.01,0.29,0.01,0.48
4422,FIFA World Cup Germany 2006,EA Sports,EA Canada,X360,2006,Sports,0.19,0.27,0.01,,0.48
4423,Up,THQ,THQ,PS2,2009,Adventure,0.19,0.05,,0.24,0.48
4424,Wolfenstein: The Old Blood,Bethesda Softworks,MachineGames,PS4,2015,Shooter,0.13,0.25,0.02,0.07,0.48
4425,Grand Prix,Activision,Activision,2600,1982,Racing,0.45,0.03,,0.0,0.48
4426,Just Dance 2014,Ubisoft,Ubisoft Paris,XOne,2013,Music,0.31,0.12,,0.04,0.48
4427,EA Sports UFC,Electronic Arts,EA Canada,XOne,2014,Fighting,0.3,0.13,,0.04,0.48
4428,World of Outlaws: Sprint Cars 2002,Infogrames,Ratbag,PS2,2002,Racing,0.23,0.18,,0.06,0.48
4429,BioShock: The Collection,2K Games,"Blind Squirrel Digital, Inc",XOne,2016,Shooter,0.35,0.08,,0.05,0.48
4430,LEGO The Hobbit,Warner Bros. Interactive Entertainment,Traveller's Tales,PS3,2014,Action-Adventure,0.12,0.28,,0.07,0.47
4431,Fantavision,Sony Computer Entertainment,SCEI,PS2,2000,Puzzle,0.14,0.11,0.19,0.04,0.47
4432,Double Dragon,Activision,Activision,2600,1989,Action,0.45,0.02,,0.01,0.47
4433,Alien Trilogy,Acclaim Entertainment,Probe Entertainment Limited,PS,1997,Shooter,0.24,0.16,0.04,0.03,0.47
4434,NBA Live 99,EA Sports,NuFX,N64,1998,Sports,0.45,0.02,,0.0,0.47
4435,Karate,Unknown,Ultravision,2600,1980,Fighting,0.44,0.03,,0.0,0.47
4436,Spider-Man 3,Activision,Vicarious Visions,Wii,2007,Platform,0.42,0.02,,0.04,0.47
4437,Luigi's Mansion,Nintendo,GREZZO,3DS,2018,Adventure,0.19,0.16,0.09,0.03,0.47
4438,Dynasty Warriors Gundam,Namco Bandai,Omega Force,PS3,2007,Action,0.14,0.01,0.31,0.02,0.47
4439,X-Men: Next Dimension,Activision,Paradox Development,PS2,2002,Fighting,0.23,0.18,,0.06,0.47
4440,The Godfather (JP sales),Electronic Arts,Headgate,PS2,2006,Action,0.39,0.02,,0.06,0.47
4441,Cars: Race-O-Rama,THQ,Rainbow Studios,DS,2009,Racing,0.35,0.09,,0.04,0.47
4442,World of Warcraft: Warlords of Draenor,Activision Blizzard,Blizzard Entertainment,PC,2014,MMO,0.08,0.36,,0.03,0.47
4443,Dark Sector,D3 Publisher,Digital Extremes,PS3,2008,Shooter,0.23,0.16,0.01,0.07,0.47
4444,James Bond 007: Blood Stone,Activision,Bizarre Creations,X360,2010,Action,0.2,0.23,0.0,0.05,0.47
4445,Super Puyo Puyo 2,Compile,Complie,SNES,1995,Puzzle,,,0.47,0.0,0.47
4446,Gauntlet Legends,Midway Games,Atari Games,PS,2000,Action,0.26,0.18,,0.03,0.47
4447,Jurassic World Evolution,Frontier Developments,Frontier Developments,PS4,2018,Simulation,0.14,0.25,,0.08,0.47
4448,Ford Racing Off Road,Empire Interactive,Razorworks Studios,Wii,2008,Racing,0.06,0.4,,0.01,0.47
4449,WipEout,Psygnosis,Psygnosis,PS,1995,Racing,0.26,0.18,,0.03,0.47
4450,NBA Live 07,EA Sports,EA Canada,X360,2006,Sports,0.43,0.0,,0.04,0.47
4451,F.E.A.R. 2: Project Origin,Warner Bros. Interactive,Monolith Productions,PS3,2009,Shooter,0.19,0.2,0.01,0.08,0.47
4452,ICO,Sony Computer Entertainment,Team ICO,PS2,2001,Adventure,0.23,0.18,,0.06,0.47
4453,Silent Hill: Downpour,Konami,Konami,PS3,2012,Adventure,0.21,0.16,0.04,0.06,0.47
4454,Unreal Tournament III,Midway Games,Epic Games,X360,2008,Shooter,0.25,0.17,0.01,0.05,0.47
4455,Microsoft Flight Simulator X,Microsoft Game Studios,ACES Studio/Microsoft Game Studios,PC,2006,Simulation,0.02,0.41,,0.04,0.47
4456,Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Square Enix,Square Enix,Wii,2011,Role-Playing,,,0.47,,0.47
4457,The Sims 2: Pets,Electronic Arts,Maxis,Wii,2007,Simulation,0.41,0.03,,0.04,0.47
4458,2010 FIFA World Cup South Africa,EA Sports,EA Canada,PSP,2010,Sports,0.09,0.23,0.03,0.12,0.47
4459,Dragon Ball: Xenoverse 2,Namco Bandai Games,Dimps Corporation,XOne,2016,Action,0.33,0.09,,0.05,0.47
4460,Victorious Boxers: Ippo's Road to Glory,Empire Interactive,New,PS2,2001,Fighting,0.05,0.04,0.38,0.01,0.47
4461,MySims Racing,Electronic Arts,Artificial Mind and Movement,Wii,2009,Racing,0.19,0.23,,0.05,0.47
4462,Densetsu no Stafi,Nintendo,TOSE,GBA,2002,Platform,,,0.46,0.01,0.47
4463,Valkyrie Profile 2: Silmeria,Square Enix,tri-Ace,PS2,2006,Role-Playing,0.04,0.03,0.39,0.01,0.47
4464,Hot Wheels Velocity X,THQ,Beyond Games,PS2,2002,Racing,0.23,0.18,,0.06,0.47
4465,Dragon Age Origins: Awakening,Electronic Arts,BioWare Corp.,X360,2010,Role-Playing,0.33,0.1,,0.04,0.47
4466,Inazuma Eleven 3: Sekai e no Chousen!! The Ogre,Level 5,Level 5,DS,2010,Sports,,,0.47,,0.47
4467,Shadowrun (2007),Microsoft Game Studios,FASA Studio,X360,2007,Shooter,0.41,0.02,,0.04,0.47
4468,Jake Power: Fireman,Ubisoft,Magic Pockets,DS,2009,Adventure,0.08,0.34,,0.05,0.47
4469,L.A. Rush,Midway Games,The Pitbull Syndicate Limited,PS2,2005,Racing,0.23,0.18,,0.06,0.47
4470,Dead Space Extraction,Electronic Arts,Visceral Games,Wii,2009,Shooter,0.32,0.1,0.01,0.04,0.47
4471,Automobili Lamborghini,Titus,Titus Software,N64,1997,Racing,0.28,0.17,,0.01,0.47
4472,Bomberman Hero,Nintendo,AI,N64,1998,Platform,0.27,0.06,0.08,0.05,0.47
4473,Doom 64,Midway Games,Midway Studios San Diego,N64,1997,Shooter,0.38,0.08,,0.01,0.47
4474,Momotarou Dentetsu V,Hudson Entertainment,Hudson,PS,1999,Misc,,,0.44,0.03,0.47
4475,Quest 64,THQ,Imagineer,N64,1998,Role-Playing,0.38,0.08,,0.01,0.47
4476,Crash: Mind Over Mutant,Activision,Radical Entertainment,X360,2008,Platform,0.22,0.2,,0.05,0.47
4477,Commando,Activision,Data East,2600,1988,Action,0.44,0.02,,0.0,0.47
4478,Viva Pinata: Trouble in Paradise,Microsoft Game Studios,Rare Ltd.,X360,2008,Simulation,0.16,0.25,0.01,0.05,0.47
4479,NBA Ballers: Phenom,Midway Games,Midway,PS2,2006,Sports,0.23,0.18,,0.06,0.47
4480,Rise of Nightmares,Sega,Sega,X360,2011,Action,0.28,0.13,0.01,0.04,0.47
4481,Need for Speed Carbon,Electronic Arts,EA Black Box,XB,2006,Racing,0.35,0.1,,0.02,0.47
4482,Payday 2,505 Games,Overkill Software,PS3,2013,Shooter,0.24,0.15,,0.08,0.47
4483,Silent Hill: Shattered Memories,Konami,Climax Group,Wii,2009,Adventure,0.22,0.19,0.01,0.05,0.47
4484,FlingSmash,Nintendo,Artoon,Wii,2010,Action,0.37,0.01,0.07,0.02,0.47
4485,Emergency Heroes,Ubisoft,Ubisoft Barcelona / Ubisoft Reflections,Wii,2008,Racing,0.14,0.27,,0.05,0.47
4486,Deadpool,Activision,High Moon Studios,PS4,2015,Action,0.26,0.13,,0.08,0.47
4487,Active Life: Extreme Challenge,Namco Bandai,High Horse Entertainment,Wii,2009,Sports,0.14,0.27,,0.06,0.47
4488,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Square Enix,Omega Force,PS4,2017,Action,0.05,0.09,0.3,0.03,0.47
4489,MTV Music Generator,Codemasters,Jester Interactive,PS,1999,Misc,0.26,0.18,,0.03,0.47
4490,Football Manager 2015,Sega,Sports Interactive,PC,2014,Simulation,,0.44,,0.03,0.47
4491,Hamsterz Life,Ubisoft,Unknown,DS,2006,Action,0.43,0.01,,0.04,0.47
4492,"Warhammer 40,000: Dawn of War II",THQ,Relic,PC,2009,Strategy,,0.45,,0.01,0.47
4493,Super Momotarou Dentetsu DX,Hudson Soft,Hudson Soft,SNES,1995,Misc,,,0.47,0.0,0.47
4494,World Soccer Winning Eleven 8: Liveware Evolution,Konami,Konami Computer Entertainment Tokyo,PS2,2005,Sports,,,0.47,,0.47
4495,TrackMania Turbo,Ubisoft,Nadeo,PS4,2016,Racing,0.04,0.35,,0.07,0.47
4496,Madden NFL 17,EA Sports,EA Tiburon,X360,2016,Sports,0.37,0.05,,0.05,0.47
4497,Cars: Race-O-Rama,THQ,Rainbow Studios,PS2,2009,Racing,0.27,0.03,,0.17,0.47
4498,Final Fantasy Crystal Chronicles: Echoes of Time,Square Enix,Square Enix,DS,2009,Role-Playing,0.12,0.06,0.27,0.02,0.47
