Rank,Name,Publisher,Developer,Platform,Release_date,Genre,Sales_NA,Sales_PAL,Sales_JP,Sales_Other,Sales_Globe
53,Pokémon Heart Gold / Soul Silver Version,Nintendo,Game Freak,DS,2010,Role-Playing,4.34,2.72,3.96,0.76,11.78
54,Super Mario Odyssey,Nintendo,Nintendo EPD,NS,2017,Platform,5.1,3.75,2.02,0.84,11.71
55,Gran Turismo 4,Sony Computer Entertainment,Polyphony Digital,PS2,2005,Racing,3.01,0.01,1.1,7.53,11.66
56,Super Mario 3D Land,Nintendo,Nintendo EAD Tokyo,3DS,2011,Platform,5.1,3.46,2.15,0.85,11.56
57,Super Mario Galaxy,Nintendo,Nintendo EAD Tokyo,Wii,2007,Platform,6.06,3.38,1.2,0.76,11.4
58,New Super Mario Bros. 2,Nintendo,Nintendo,3DS,2012,Platform,3.95,4.07,2.59,0.72,11.33
59,Super Mario Land 2: 6 Golden Coins,Nintendo,Nintendo R&D1,GB,1992,Platform,6.16,2.04,2.69,0.29,11.18
60,Grand Theft Auto IV,Rockstar Games,Rockstar North,X360,2008,Action,6.8,3.11,0.14,1.04,11.09
61,Gran Turismo,Sony Computer Entertainment,Polyphony Digital,PS,1998,Racing,4.02,3.87,2.54,0.52,10.95
62,FIFA 17,Electronic Arts,EA Canada,PS4,2016,Sports,1.26,7.95,0.12,1.61,10.94
63,Animal Crossing: New Leaf,Nintendo,Nintendo EAD,3DS,2013,Simulation,2.46,3.06,4.9,0.48,10.9
64,Gran Turismo 5,Sony Computer Entertainment,Polyphony Digital,PS3,2010,Racing,2.96,4.87,0.81,2.1,10.75
65,Call of Duty: Modern Warfare 2,Activision,Infinity Ward,PS3,2009,Shooter,4.99,3.66,0.38,1.59,10.61
66,Grand Theft Auto IV,Rockstar Games,Rockstar North,PS3,2008,Action,4.79,3.73,0.44,1.62,10.57
67,Super Mario All-Stars,Nintendo,Nintendo EAD,SNES,1993,Platform,5.99,2.15,2.12,0.29,10.55
68,Pokémon FireRed / LeafGreen Version,Nintendo,Game Freak,GBA,2004,Role-Playing,4.34,2.65,3.15,0.35,10.49
69,Call of Duty: Ghosts,Activision,Infinity Ward,X360,2013,Shooter,6.76,2.64,0.04,0.98,10.41
70,Uncharted 4: A Thief's End,Sony Interactive Entertainment,Naughty Dog,PS4,2016,Action,4.49,3.93,0.21,1.7,10.33
71,Just Dance 3,Ubisoft,Ubisoft Paris,Wii,2011,Misc,5.95,3.13,,1.06,10.14
